Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
Mieszkanie w zieleni przy parku Szczęśliwickim,1324000.0,"ul. Włodarzewska, Szczęśliwice, Ochota, Warszawa, mazowieckie",90.0,3 ,1/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-w-zieleni-przy-parku-szczesliwickim-ID4mOMi,Mazowieckie,Warszawa
"Przytulne 2 pok., na kameralnym osiedlu (Ursynów)",634000.0,"ul. Pustułeczki, Stary Imielin, Ursynów, Warszawa, mazowieckie",36.2,2 ,2/2,do zamieszkania,gazowe,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/przytulne-2-pok-na-kameralnym-osiedlu-ursynow-ID4nW8R,Mazowieckie,Warszawa
2-pokojowe mieszkanie 52m2 + 2 balkony,,"ul. Batalionów Chłopskich, Chrzanów, Bemowo, Warszawa, mazowieckie",52.74,2 ,3/6,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-52m2-2-balkony-ID4irtV,Mazowieckie,Warszawa
Dwupokojowe mieszkanie na Grochowie.,740000.0,"ul. Wiatraczna, Grochów, Praga-Południe, Warszawa, mazowieckie",45.15,2 ,3/5,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-na-grochowie-ID4nW8K,Mazowieckie,Warszawa
Na inwestycje i dla rodziny! Rozkładowe 3 pokoje!,726000.0,"ul. Zamiejska, Targówek Mieszkaniowy, Targówek, Warszawa, mazowieckie",61.0,3 ,5/10,do remontu,,,balkon,https://www.otodom.pl/pl/oferta/na-inwestycje-i-dla-rodziny-rozkladowe-3-pokoje-ID4nW8H,Mazowieckie,Warszawa
Designerski penthouse - możliwość 3 sypialni,2000000.0,"al. Aleja Rzeczypospolitej, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",90.0,3 ,3/3,do zamieszkania,,,balkon,https://www.otodom.pl/pl/oferta/designerski-penthouse-mozliwosc-3-sypialni-ID4nAig,Mazowieckie,Warszawa
5-pokojowe mieszkanie 108m2 + taras Bez Prowizji,,"ul. Wiązana, Zerzeń, Wawer, Warszawa, mazowieckie",108.85,5 ,1/1,do wykończenia,,,"taras, balkon",https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-108m2-taras-bez-prowizji-ID4mmEe,Mazowieckie,Warszawa
dwa pokoje w świetnej lokalizacji,860000.0,"ul. Czerniakowska 149, Ujazdów, Śródmieście, Warszawa, mazowieckie",57.59,2 ,1/4,do remontu,gazowe,,,https://www.otodom.pl/pl/oferta/dwa-pokoje-w-swietnej-lokalizacji-ID4nJ4m,Mazowieckie,Warszawa
Bezpośrednio 2-pokoje + Panele+ Pompa Ciepła,417000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",34.0,2 ,1/2,,,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-panele-pompa-ciepla-ID4nMMN,Mazowieckie,Warszawa
Eco Berensona-kawalerka,370000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",27.0,1 ,1/2,,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/eco-berensona-kawalerka-ID4naRY,Mazowieckie,Warszawa
Atrakcyjna kawalerka w apartamentowcu na Bielanach,614000.0,"Huta, Bielany, Warszawa, mazowieckie",33.0,1 ,2/10,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-w-apartamentowcu-na-bielanach-ID4nW88,Mazowieckie,Warszawa
4-pok. mieszkanie | 81m2 | 2 łazienki | m.garażowe,1385000.0,"ul. Przeworska, Grochów, Praga-Południe, Warszawa, mazowieckie",81.4,4 ,3/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pok-mieszkanie-81m2-2-lazienki-m-garazowe-ID4nJ48,Mazowieckie,Warszawa
4-pokojowe mieszkanie 110m2 + balkon,2042955.0,"ul. Figowa, Siekierki, Mokotów, Warszawa, mazowieckie",110.43,4 ,1/2,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-110m2-balkon-ID4kgv3,Mazowieckie,Warszawa
"Atrakcyjne mieszkanie 2 pokoje 68,50m2 Włochy",970000.0,"ul. Krańcowa, Stare Włochy, Włochy, Warszawa, mazowieckie",68.5,3 ,1/3,do zamieszkania,inne,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-2-pokoje-68-50m2-wlochy-ID4mKrs,Mazowieckie,Warszawa
"Ciche, słoneczne 4pok. z dużym ogródkiem",970000.0,"ul. Sprawna, Nowodwory, Białołęka, Warszawa, mazowieckie",83.79,4 ,parter/2,do zamieszkania,gazowe,,"ogródek, taras",https://www.otodom.pl/pl/oferta/ciche-sloneczne-4pok-z-duzym-ogrodkiem-ID4nW7X,Mazowieckie,Warszawa
"Atrakcyjne mieszkanie 73,20m2 Stare Włochy + garaż",990000.0,"ul. Krańcowa, Stare Włochy, Włochy, Warszawa, mazowieckie",73.2,3 ,3/3,do zamieszkania,inne,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-73-20m2-stare-wlochy-garaz-ID4mKs6,Mazowieckie,Warszawa
Apartament z Recepcją blisko Centrum ! WYKOŃCZONY,433000.0,"al. Aleje Jerozolimskie, Raków, Włochy, Warszawa, mazowieckie",33.0,1 ,,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/apartament-z-recepcja-blisko-centrum-wykonczony-ID3C7RK,Mazowieckie,Warszawa
"⭐️ Ursynów, 51,37m2, Promocja, odlicz 23%Vat ⭐️",806000.0,"Stary Imielin, Ursynów, Warszawa, mazowieckie",51.37,3 ,3/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/ursynow-51-37m2-promocja-odlicz-23-vat-ID4jvXm,Mazowieckie,Warszawa
Loft Garden Wesoła - ETAP II,1082142.0,"Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",97.63,4 ,,,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/loft-garden-wesola-etap-ii-ID4m4LM,Mazowieckie,Warszawa
"GOTOWE M3 , widna kuchnia, widok na las, kredyt 2%",686500.0,"ul. Sprawna, Nowodwory, Białołęka, Warszawa, mazowieckie",59.2,3 ,2/3,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/gotowe-m3-widna-kuchnia-widok-na-las-kredyt-2-ID4nW7E,Mazowieckie,Warszawa
2-pokojowe mieszkanie 44m2 + balkon Bezpośrednio,,"ul. Żupnicza, Kamionek, Praga-Południe, Warszawa, mazowieckie",44.77,2 ,2/5,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-balkon-bezposrednio-ID4kDrn,Mazowieckie,Warszawa
"Sprzedam mieszkanie Gocław, Praga południe",830000.0,"ul. Tadeusza Rechniewskiego, Gocław, Praga-Południe, Warszawa, mazowieckie",65.0,3 ,3/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-goclaw-praga-poludnie-ID4jgB8,Mazowieckie,Warszawa
5-pokojowe mieszkanie 92m2 + 2 balkony,1549400.0,"ul. Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",92.97,5 ,5/5,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-92m2-2-balkony-ID4i0e6,Mazowieckie,Warszawa
"Bezpośrednio 2 pokoje 38 m2, Krasiczyńska, Metro",550000.0,"Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie",38.4,2 ,6/10,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokoje-38-m2-krasiczynska-metro-ID4nNTu,Mazowieckie,Warszawa
1-pokojowe mieszkanie 33m2 + ogródek Bez Prowizji,,"ul. Bolesława Krzywoustego, Gołąbki, Ursus, Warszawa, mazowieckie",33.26,1 ,parter/2,do wykończenia,,garaż/miejsce parkingowe,"taras, ogródek",https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-33m2-ogrodek-bez-prowizji-ID4nW7v,Mazowieckie,Warszawa
2/3 Pokoje| Loggia| Do Wprowadzenia,759000.0,"ul. Miła, Nowolipki, Wola, Warszawa, mazowieckie",45.8,3 ,3/4,do zamieszkania,,,balkon,https://www.otodom.pl/pl/oferta/2-3-pokoje-loggia-do-wprowadzenia-ID4nW7n,Mazowieckie,Warszawa
"Kawalerka, 25 m2, balkon, metro Wierzbno, Mokotów",495000.0,"al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie",25.0,1 ,5/9,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/kawalerka-25-m2-balkon-metro-wierzbno-mokotow-ID4nW7k,Mazowieckie,Warszawa
4-pokojowe mieszkanie 103m2 + taras Bez Prowizji,3340440.0,"ul. Mariana Zdziechowskiego, Ksawerów, Mokotów, Warszawa, mazowieckie",103.27,4 ,7/7,do wykończenia,,garaż/miejsce parkingowe,"taras, balkon",https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-103m2-taras-bez-prowizji-ID4jUTt,Mazowieckie,Warszawa
3-pokojowe mieszkanie 68m2 + balkon,,"ul. Piotra Wysockiego, Bródno, Targówek, Warszawa, mazowieckie",68.86,3 ,1/5,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-68m2-balkon-ID4l3fR,Mazowieckie,Warszawa
Dwupokojowe mieszkanie z duszą na Mokotowie!,499000.0,"ul. Barcelońska, Stegny, Mokotów, Warszawa, mazowieckie",30.8,2 ,parter/10,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-dusza-na-mokotowie-ID4nKJj,Mazowieckie,Warszawa
"3p 49m2 Do remontu, dwustronne z balkonem Żoliborz",735000.0,"Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",49.0,3 ,3/10,do remontu,,,,https://www.otodom.pl/pl/oferta/3p-49m2-do-remontu-dwustronne-z-balkonem-zoliborz-ID4nW6S,Mazowieckie,Warszawa
4-pokojowe mieszkanie 63m2 + balkon Bezpośrednio,,"ul. Dionizosa, Nowodwory, Białołęka, Warszawa, mazowieckie",63.0,4 ,6/8,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-63m2-balkon-bezposrednio-ID4nuD1,Mazowieckie,Warszawa
Żoliborz! 3 pokoje blisko pl. Wilsona,1650600.0,"ul. Zygmunta Krasińskiego, Stary Żoliborz, Żoliborz, Warszawa, mazowieckie",78.6,3 ,3/5,,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/zoliborz-3-pokoje-blisko-pl-wilsona-ID4nW6G,Mazowieckie,Warszawa
Mokotów. Dwa pokoje. Duża loggia.,615000.0,"ul. Sardyńska, Stegny, Mokotów, Warszawa, mazowieckie",42.3,2 ,6/10,,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mokotow-dwa-pokoje-duza-loggia-ID4nW6u,Mazowieckie,Warszawa
Górna Droga 2 pokoje 2001 r,650000.0,"ul. Górna Droga, Czechowice, Ursus, Warszawa, mazowieckie",59.1,2 ,1/7,do zamieszkania,kotłownia,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/gorna-droga-2-pokoje-2001-r-ID4nqLs,Mazowieckie,Warszawa
Dwupoziomowe mieszkanie na Mokotowie,1340000.0,"ul. Bartycka, Siekierki, Mokotów, Warszawa, mazowieckie",130.0,4 ,3/3,do zamieszkania,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/dwupoziomowe-mieszkanie-na-mokotowie-ID4mMlX,Mazowieckie,Warszawa
Mieszkanie 2 pok w kamienicy na Starej Ochocie,720000.0,"ul. Białobrzeska 55, Stara Ochota, Ochota, Warszawa, mazowieckie",44.2,2 ,1/3,do wykończenia,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-2-pok-w-kamienicy-na-starej-ochocie-ID4mGtX,Mazowieckie,Warszawa
"Dwupokojowe z balkonem do zamieszkania, Metro",620000.0,"ul. Jesiennych Liści, Grodzisk, Białołęka, Warszawa, mazowieckie",38.7,2 ,1/2,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/dwupokojowe-z-balkonem-do-zamieszkania-metro-ID4nW3T,Mazowieckie,Warszawa
"Mieszkanie, 36,81 m², Warszawa",559000.0,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",36.81,1 ,2/3,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/mieszkanie-36-81-m-warszawa-ID4nW3J,Mazowieckie,Warszawa
Komfortowa Garsoniera w Ścisłym Centum Warszawy,710000.0,"ul. Krucza 51, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",24.0,1 ,7/7,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/komfortowa-garsoniera-w-scislym-centum-warszawy-ID4nJ1x,Mazowieckie,Warszawa
Nowe 3 pokoje 76m2 Rytm Kabaty Garaż,1359000.0,"ul. Jerzego Iwanowa-Szajnowicza, Kabaty, Ursynów, Warszawa, mazowieckie",76.19,3 ,1,,,,,https://www.otodom.pl/pl/oferta/nowe-3-pokoje-76m2-rytm-kabaty-garaz-ID4mwXM,Mazowieckie,Warszawa
Powiśle - dwa pokoje w dobrej cenie,720000.0,"Solec, Śródmieście, Warszawa, mazowieckie",36.0,2 ,2/8,do remontu,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/powisle-dwa-pokoje-w-dobrej-cenie-ID4nOuh,Mazowieckie,Warszawa
2 pokoje z loggią i garażem w apartamentowcu 2016,729500.0,"Elsnerów, Targówek, Warszawa, mazowieckie",50.0,2 ,3/3,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/2-pokoje-z-loggia-i-garazem-w-apartamentowcu-2016-ID4nW28,Mazowieckie,Warszawa
"3pok.Balkon,Stary Zielony Mokotów",990000.0,"Stary Mokotów, Mokotów, Warszawa, mazowieckie",63.0,3 ,4/5,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/3pok-balkon-stary-zielony-mokotow-ID4nW29,Mazowieckie,Warszawa
"Apartament na Ochocie dla rodziny, dla inwestorów",1480000.0,"Szczęśliwice, Ochota, Warszawa, mazowieckie",95.7,4 ,2/9,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, ogródek, taras",https://www.otodom.pl/pl/oferta/apartament-na-ochocie-dla-rodziny-dla-inwestorow-ID4nJxm,Mazowieckie,Warszawa
"2 Pokoje, W Cenie Garaż I Komórka, Metro Kabaty",799000.0,"Kabaty, Ursynów, Warszawa, mazowieckie",47.0,2 ,1/3,,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-w-cenie-garaz-i-komorka-metro-kabaty-ID4nW2X,Mazowieckie,Warszawa
LOFT GARDEN Wesoła ETAP II 53-99m2 - apart. LOFT,1082314.0,"Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie",99.78,4 ,1/1,,inne,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/loft-garden-wesola-etap-ii-53-99m2-apart-loft-ID4m4MQ,Mazowieckie,Warszawa
"Apartamenty Patria - Powiśle, widok na zieleń!",1890000.0,"ul. Leona Kruczkowskiego, Solec, Śródmieście, Warszawa, mazowieckie",67.5,3 ,4/8,,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/apartamenty-patria-powisle-widok-na-zielen-ID4nAn6,Mazowieckie,Warszawa
Sprzedam mieszkanie 32 mkw - MOKOTÓW STEGNY,595000.0,"ul. Kaspijska, Stegny, Mokotów, Warszawa, mazowieckie",32.0,2 ,parter/9,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-32-mkw-mokotow-stegny-ID4nO01,Mazowieckie,Warszawa
Bielany-Żoliborz. Skanska. Dwa pokoje.Balkon.,895000.0,"ul. Rudzka, Marymont-Kaskada, Bielany, Warszawa, mazowieckie",43.4,2 ,parter/6,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bielany-zoliborz-skanska-dwa-pokoje-balkon-ID4nPdF,Mazowieckie,Warszawa
2-pokojowe mieszkanie 36m2 + balkon Bez Prowizji,,"ul.Ostródzka, Brzeziny, Białołęka, Warszawa, mazowieckie",36.71,2 ,1/3,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-36m2-balkon-bez-prowizji-ID4nW2s,Mazowieckie,Warszawa
Penthouse na Alei Szucha - Kamienica z 1910 roku,3326900.0,"al. Aleja Jana Chrystiana Szucha, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",175.1,5 ,6/6,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/penthouse-na-alei-szucha-kamienica-z-1910-roku-ID4kzm5,Mazowieckie,Warszawa
Penthouse na Alei Szucha - Kamienica z 1910 roku,2623520.0,"al. Aleja Jana Chrystiana Szucha, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie",138.08,4 ,6/6,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/penthouse-na-alei-szucha-kamienica-z-1910-roku-ID4kzm4,Mazowieckie,Warszawa
2-pokojowe mieszkanie 44m2 + balkon,863086.0,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",44.08,2 ,5/8,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-44m2-balkon-ID4jwYc,Mazowieckie,Warszawa
4-pok mieszkanie 144m +ogród 260m +2 garaże,1140000.0,"ul. Głębocka, Białołęka Dworska, Białołęka, Warszawa, mazowieckie",144.3,4 ,parter/1,do wykończenia,inne,garaż/miejsce parkingowe,"ogródek, taras",https://www.otodom.pl/pl/oferta/4-pok-mieszkanie-144m-ogrod-260m-2-garaze-ID4mezt,Mazowieckie,Warszawa
3-pok mieszkanie 112m +taras 37m +garaż Kredyt 2%,799000.0,"ul. Głębocka, Grodzisk, Białołęka, Warszawa, mazowieckie",112.31,3 ,1/1,do wykończenia,inne,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/3-pok-mieszkanie-112m-taras-37m-garaz-kredyt-2-ID4mezD,Mazowieckie,Warszawa
"Mieszkanie 2 pokojowe , Centrum, metro Rondo Onz",769000.0,"ul. Śliska, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",36.0,2 ,10/12,,,,,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-centrum-metro-rondo-onz-ID4nW1Q,Mazowieckie,Warszawa
2-POKOJOWE MIESZKANIE - pod klucz | odbiór 2023 r.,63518046.0,"ul. Płochocińska, Szamocin, Białołęka, Warszawa, mazowieckie",48.54,2 ,parter/2,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-pod-klucz-odbior-2023-r-ID4nhrW,Mazowieckie,Warszawa
Cesja gotowe do odbioru Royal Residence garaż,760000.0,"ul. Sarmacka, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",35.76,2 ,1/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/cesja-gotowe-do-odbioru-royal-residence-garaz-ID4nW1B,Mazowieckie,Warszawa
"2 Pokoje, Balkon, Komórka W Cenie, Metro Natolin.",799000.0,"Natolin, Ursynów, Warszawa, mazowieckie",45.52,2 ,6/9,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-balkon-komorka-w-cenie-metro-natolin-ID4nW1t,Mazowieckie,Warszawa
3 POKOJE z odbiorem w grudniu - program 2%,708186.0,"ul. Skrajna, Elsnerów, Targówek, Warszawa, mazowieckie",66.81,3 ,4/6,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokoje-z-odbiorem-w-grudniu-program-2-ID4nNMR,Mazowieckie,Warszawa
Soft loft – wyjątkowe mieszkanie na Zawadach,1790000.0,"ul. Bruzdowa, Zawady, Wilanów, Warszawa, mazowieckie",121.0,4 ,1/2,do zamieszkania,kotłownia,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/soft-loft-wyjatkowe-mieszkanie-na-zawadach-ID49Y11,Mazowieckie,Warszawa
"Sprzedam Mieszkanie Rydygiera 3pok, Garaż, 62m2",1300000.0,"ul. Ludwika Rydygiera, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie",62.0,3 ,2,do zamieszkania,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-rydygiera-3pok-garaz-62m2-ID4nOc3,Mazowieckie,Warszawa
Saska Kępa- Dojazd Do Centrum 10 Minut,779000.0,"al. Aleja Stanów Zjednoczonych, Saska Kępa, Praga-Południe, Warszawa, mazowieckie",56.28,3 ,9/10,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/saska-kepa-dojazd-do-centrum-10-minut-ID4nW1c,Mazowieckie,Warszawa
"Okazja Cenowa, widna kuchnia,Niski blok, 2 balkony",649000.0,"Huta, Bielany, Warszawa, mazowieckie",48.0,3 ,,do remontu,inne,,,https://www.otodom.pl/pl/oferta/okazja-cenowa-widna-kuchnia-niski-blok-2-balkony-ID4nW18,Mazowieckie,Warszawa
2-pokojowe mieszkanie 47m2 + balkon Bez Prowizji,730100.0,"ul. Optyków, Gocław, Praga-Południe, Warszawa, mazowieckie",47.76,2 ,parter/5,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-balkon-bez-prowizji-ID4i0cU,Mazowieckie,Warszawa
Piękne mieszkanie premium na Gocławiu,680000.0,"Gocław, Praga-Południe, Warszawa, mazowieckie",36.6,2 ,1/10,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/piekne-mieszkanie-premium-na-goclawiu-ID4nW0R,Mazowieckie,Warszawa
"Atrakcyjne mieszkanie 3p. 75,2 m2 Ursus Skorosze",989000.0,"ul. Ryżowa, Skorosze, Ursus, Warszawa, mazowieckie",75.2,3 ,2/6,do zamieszkania,gazowe,,balkon,https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-3p-75-2-m2-ursus-skorosze-ID4nn1l,Mazowieckie,Warszawa
Kredyt 2% l Metro 550m | BEZPOŚREDNIO,649000.0,"ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie",37.0,2 ,6/10,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/kredyt-2-l-metro-550m-bezposrednio-ID4nA6g,Mazowieckie,Warszawa
*Fenomenalne mieszkanie dla rodziny* Metro Imielin,1389000.0,"ul. Alternatywy, Stary Imielin, Ursynów, Warszawa, mazowieckie",72.71,3 ,1/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,ogródek,https://www.otodom.pl/pl/oferta/fenomenalne-mieszkanie-dla-rodziny-metro-imielin-ID4nW0a,Mazowieckie,Warszawa
2-pokojowe mieszkanie 38m2 + balkon Bezpośrednio,490496.0,"ul. Chełmżyńska, Kawęczyn-Wygoda, Rembertów, Warszawa, mazowieckie",38.32,2 ,1/5,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-bezposrednio-ID4ltMe,Mazowieckie,Warszawa
Nowe budownictwo/ garaż/ duży balkon!,760000.0,"Gocławek, Praga-Południe, Warszawa, mazowieckie",56.0,2 ,1/5,do zamieszkania,miejskie,,"balkon, taras",https://www.otodom.pl/pl/oferta/nowe-budownictwo-garaz-duzy-balkon-ID4nKTw,Mazowieckie,Warszawa
Dwie łazienki | Duży balkon | 3 min od tramwaj,1299708.0,"ul. Dywizjonu 303 303, Górce, Bemowo, Warszawa, mazowieckie",72.21,4 ,3/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/dwie-lazienki-duzy-balkon-3-min-od-tramwaj-ID4nLXa,Mazowieckie,Warszawa
Widok w cenie ! Wyjątkowa lokalizacja!,680000.0,"ul. Pańska, Mirów, Wola, Warszawa, mazowieckie",39.0,2 ,> 10/12,do remontu,miejskie,,balkon,https://www.otodom.pl/pl/oferta/widok-w-cenie-wyjatkowa-lokalizacja-ID4nQ9N,Mazowieckie,Warszawa
OKAZJA wyjątkowe mieszkanie | Saska Kępa,500000.0,"Saska Kępa, Praga-Południe, Warszawa, mazowieckie",38.0,2 ,,,,,,https://www.otodom.pl/pl/oferta/okazja-wyjatkowe-mieszkanie-saska-kepa-ID4nNPk,Mazowieckie,Warszawa
"Gotowe mieszkanie na ""leśnym"" osiedlu",805545.0,"ul. Aluzyjna, Nowodwory, Białołęka, Warszawa, mazowieckie",59.67,3 ,3/3,do wykończenia,inne,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/gotowe-mieszkanie-na-lesnym-osiedlu-ID4nW00,Mazowieckie,Warszawa
Mieszkanie dla rodziny przy metrze Wawrzyszew,1684500.0,"al. Aleja Władysława Reymonta, Stare Bielany, Bielany, Warszawa, mazowieckie",80.21,4 ,1/4,do wykończenia,miejskie,,,https://www.otodom.pl/pl/oferta/mieszkanie-dla-rodziny-przy-metrze-wawrzyszew-ID4nUZZ,Mazowieckie,Warszawa
Idealna pod wynajem kawalerka przy metrze M1,686000.0,"al. Aleja Władysława Reymonta, Stare Bielany, Bielany, Warszawa, mazowieckie",30.49,1 ,2/4,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/idealna-pod-wynajem-kawalerka-przy-metrze-m1-ID4nUZX,Mazowieckie,Warszawa
Kawalerka blisko Parku Hassów,415000.0,"Niedźwiadek, Ursus, Warszawa, mazowieckie",31.0,1 ,2/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/kawalerka-blisko-parku-hassow-ID4nUV1,Mazowieckie,Warszawa
4-pokojowe mieszkanie 72m2 + ogródek,,"ul. Duninów, Henryków, Białołęka, Warszawa, mazowieckie",72.68,4 ,parter/4,do wykończenia,,garaż/miejsce parkingowe,"taras, ogródek",https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-72m2-ogrodek-ID4c9kF,Mazowieckie,Warszawa
"3 lub 4 pokoje Ursynów, Kabaty. Garaż",1250000.0,"ul. Romualda Mielczarskiego 1, Kabaty, Ursynów, Warszawa, mazowieckie",100.1,4 ,3/4,,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-lub-4-pokoje-ursynow-kabaty-garaz-ID4nPpn,Mazowieckie,Warszawa
