Title,Price,Location,Surface,Number_of_Rooms,Floor,Finishing_Condition,Heating,Parking_Space,Balcony_Garden_Terrace,Link,Voivodeship,City
Wyposażenie w cenie| Do wejścia| Dużo zieleni,830000.0,"ul. Okocimska, Ulrychów, Wola, Warszawa, mazowieckie",49.81,3 ,4/10,do zamieszkania,miejskie,,,https://www.otodom.pl/pl/oferta/wyposazenie-w-cenie-do-wejscia-duzo-zieleni-ID4nWf5,Mazowieckie,Warszawa
Widne 3 -pokojowe po generalnym remoncie metro Bró,997000.0,"ul. Wyszogrodzka, Bródno, Targówek, Warszawa, mazowieckie",67.13,3 ,3/17,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/widne-3-pokojowe-po-generalnym-remoncie-metro-bro-ID4nqLi,Mazowieckie,Warszawa
3 pokoje_baklon_taras #0pcc DEVELOPER!,1035000.0,"Białołęka Dworska, Białołęka, Warszawa, mazowieckie",81.0,3 ,3/3,do wykończenia,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/3-pokoje-baklon-taras-0pcc-developer-ID4nWeB,Mazowieckie,Warszawa
"ul. Reymonta 17 | 66,20 m2 | 10 p | do zamieszkani",699000.0,"al. Aleja Władysława Reymonta 17, Chomiczówka, Bielany, Warszawa, mazowieckie",66.2,3 ,10/10,do zamieszkania,miejskie,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/ul-reymonta-17-66-20-m2-10-p-do-zamieszkani-ID4nonc,Mazowieckie,Warszawa
4 pokoje / loggia / 2x garaż / komórka /Holm House,1499000.0,"ul. Mariana Zdziechowskiego, Ksawerów, Mokotów, Warszawa, mazowieckie",78.0,4 ,1/6,do wykończenia,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/4-pokoje-loggia-2x-garaz-komorka-holm-house-ID4nWez,Mazowieckie,Warszawa
"Bezpośrednio 3 pokoje, 2 miejsca parkingowe",859999.0,"Marysin Wawerski, Wawer, Warszawa, mazowieckie",63.0,3 ,5/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/bezposrednio-3-pokoje-2-miejsca-parkingowe-ID4mmkO,Mazowieckie,Warszawa
3-pokojowe mieszkanie 63m2 + balkon Bezpośrednio,868224.0,"ul. Przedpole, Raków, Włochy, Warszawa, mazowieckie",63.84,3 ,1/4,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-balkon-bezposrednio-ID4izrL,Mazowieckie,Warszawa
Trzypokojowe mieszkanie Śródmieście,1500000.0,"ul. Tamka, Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",66.08,3 ,> 10/14,do remontu,miejskie,,,https://www.otodom.pl/pl/oferta/trzypokojowe-mieszkanie-srodmiescie-ID4nx0y,Mazowieckie,Warszawa
"Bezpośrednio! Białołęka, 4pokoje, 95m2",1260000.0,"ul. Wiśniowy Sad, Brzeziny, Białołęka, Warszawa, mazowieckie",95.1,4 ,1/2,do zamieszkania,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/bezposrednio-bialoleka-4pokoje-95m2-ID4nWek,Mazowieckie,Warszawa
4 Pokojowe Mieszkanie - Oaza Spokoju i Wygody.,984700.0,"ul. Teodora Axentowicza, Anin, Wawer, Warszawa, mazowieckie",82.2,4 ,2/4,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-oaza-spokoju-i-wygody-ID4nWcK,Mazowieckie,Warszawa
5-pokojowe mieszkanie 134m2 + taras Bezpośrednio,2822820.0,"ul. Figowa, Siekierki, Mokotów, Warszawa, mazowieckie",134.42,5 ,2/2,do wykończenia,,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-134m2-taras-bezposrednio-ID4meeM,Mazowieckie,Warszawa
"Nowe, stylowe 3 pok. mieszkanie premium Siennicka",960000.0,"ul. Siennicka, Grochów, Praga-Południe, Warszawa, mazowieckie",49.0,3 ,parter/5,do zamieszkania,miejskie,garaż/miejsce parkingowe,"balkon, taras",https://www.otodom.pl/pl/oferta/nowe-stylowe-3-pok-mieszkanie-premium-siennicka-ID4nomH,Mazowieckie,Warszawa
4-pokojowy apartament 124m2 + loggia,,"ul. Ogrodowa, Mirów, Wola, Warszawa, mazowieckie",124.49,4 ,6/6,do wykończenia,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/4-pokojowy-apartament-124m2-loggia-ID4l3ri,Mazowieckie,Warszawa
2 pokoje_stan deweloperski_od ręki_bez PCC,756000.0,"ul. Szczęsna 1A, Stare Włochy, Włochy, Warszawa, mazowieckie",50.4,2 ,1/2,do wykończenia,miejskie,,,https://www.otodom.pl/pl/oferta/2-pokoje-stan-deweloperski-od-reki-bez-pcc-ID4nWdP,Mazowieckie,Warszawa
2 pokoje przy Rondzie Wiatraczna | do wprowadzenia,745000.0,"Grochów, Praga-Południe, Warszawa, mazowieckie",46.7,2,6/7,do zamieszkania,miejskie,,balkon,https://www.otodom.pl/pl/oferta/2-pokoje-przy-rondzie-wiatraczna-do-wprowadzenia-ID4nTFl,Mazowieckie,Warszawa
3-pokojowe mieszkanie 89m2 + 2 balkony,,"ul. Dionizosa, Nowodwory, Białołęka, Warszawa, mazowieckie",89.84,3,3/8,do wykończenia,,garaż/miejsce parkingowe,balkon,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-89m2-2-balkony-ID4cscO,Mazowieckie,Warszawa
"Kameralny,Widny,Cichy Apartament,4pok.79m2+Taras",1297000.0,"al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie",79.3,4,3/4,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/kameralny-widny-cichy-apartament-4pok-79m2-taras-ID4nUWs,Mazowieckie,Warszawa
"Elegancki,Widny,Cichy Apartament,4pok.79m2+Taras",1297000.0,"al. Aleja Wilanowska, Stegny, Mokotów, Warszawa, mazowieckie",79.3,4,3/4,,miejskie,garaż/miejsce parkingowe,taras,https://www.otodom.pl/pl/oferta/elegancki-widny-cichy-apartament-4pok-79m2-taras-ID4nUWq,Mazowieckie,Warszawa
Apartament z Loggią w 19 dzielnicy ul. Kolejowa,996000.0,"Czyste, Wola, Warszawa, mazowieckie",37.17,1,2/5,do zamieszkania,,garaż/miejsce parkingowe,,https://www.otodom.pl/pl/oferta/apartament-z-loggia-w-19-dzielnicy-ul-kolejowa-ID4nPxJ,Mazowieckie,Warszawa
